community,sv,count,fract
wgs__ERR2213668,sv-268:wgs__ERR2235302,882,0.010427997162449751
wgs__ERR2213668,sv-406:wgs__ERR2213668,12005,0.14193662804445495
wgs__ERR2213668,sv-412:wgs__SRR5930494,772,0.009127453298652164
wgs__ERR2213668,sv-1041:wgs__ERR2235255,1234,0.014589737526602033
wgs__ERR2213668,sv-1472:wgs__ERR2213668,4551,0.05380704658311657
wgs__ERR2213668,sv-1515:wgs__ERR2213668,4411,0.052151808938283285
wgs__ERR2213668,sv-1531:wgs__ERR2213668,4376,0.05173799952707496
wgs__ERR2213668,sv-2046:wgs__ERR2213669,1462,0.017285410262473398
wgs__ERR2213668,sv-2134:wgs__ERR2213668,3397,0.04016315913927643
wgs__ERR2213668,sv-2335:wgs__ERR2213668,3139,0.037112792622369356
wgs__ERR2213668,sv-2369:wgs__ERR2213668,3099,0.03663986758098842
wgs__ERR2213668,sv-2371:wgs__ERR2213725,311,0.0036769921967368174
wgs__ERR2213668,sv-2673:wgs__ERR2213668,2828,0.03343580042563254
wgs__ERR2213668,sv-3402:wgs__ERR2213668,2350,0.02778434618113029
wgs__ERR2213668,sv-3751:wgs__ERR2213668,619,0.007318515015370064
wgs__ERR2213668,sv-4069:wgs__ERR2213668,2053,0.024272877748876803
wgs__ERR2213668,sv-4356:wgs__ERR2213668,1964,0.02322061953180421
wgs__ERR2213668,sv-4672:wgs__ERR2213668,1871,0.02212106881059352
wgs__ERR2213668,sv-4808:wgs__ERR2213668,1836,0.021707259399385198
wgs__ERR2213668,sv-5160:wgs__ERR2213668,1750,0.020690470560416174
wgs__ERR2213668,sv-5599:wgs__ERR2213668,1656,0.019579096713170964
wgs__ERR2213668,sv-5618:wgs__ERR2213668,1653,0.01954362733506739
wgs__ERR2213668,sv-5665:wgs__ERR2213668,1644,0.01943721920075668
wgs__ERR2213668,sv-5994:wgs__ERR2213668,1573,0.01859777725230551
wgs__ERR2213668,sv-6558:wgs__ERR2213668,1472,0.017403641522818633
wgs__ERR2213668,sv-6700:wgs__ERR2213668,1450,0.017143532750059115
wgs__ERR2213668,sv-7269:wgs__ERR2213668,1351,0.015973043272641287
wgs__ERR2213668,sv-7337:wgs__ERR2213668,1340,0.015842988886261528
wgs__ERR2213668,sv-8269:wgs__ERR2213668,1200,0.014187751241428233
